Date,Open,High,Low,Close,Volume,Adj Close
2015-03-30,42.11,43.41,42.11,43.13,1356400,42.9255
2015-03-27,42.70,43.49,42.52,42.62,2690900,42.4179
2015-03-26,43.50,43.61,42.40,42.49,3344700,42.2885
2015-03-25,44.27,44.48,43.45,43.78,2328400,43.5724
2015-03-24,43.68,44.55,43.54,44.49,2362700,44.2791
2015-03-23,43.50,44.06,43.30,43.91,2833600,43.7018
2015-03-20,42.70,44.47,42.68,44.21,10126900,44.0004
2015-03-19,42.85,43.00,42.23,42.81,3543900,42.607
2015-03-18,42.18,43.09,41.69,43.07,2005500,42.8658
2015-03-17,42.29,42.50,41.75,42.08,6678800,41.8805
2015-03-16,42.50,42.50,42.50,42.50,000,42.2985
2015-03-13,42.45,42.60,41.51,42.50,1672500,42.2985
2015-03-12,42.00,42.50,41.03,42.47,1786400,42.2686
2015-03-11,41.07,42.23,40.60,41.82,2288700,41.6217
2015-03-10,41.00,41.25,40.70,40.87,2138400,40.6762
2015-03-09,40.50,41.77,40.48,41.64,1597900,41.4426
2015-03-06,41.00,41.20,40.65,40.81,2097300,40.6165
2015-03-05,41.74,42.00,41.06,41.13,2612500,40.935
2015-03-04,41.92,41.99,41.56,41.81,1085200,41.6118
2015-03-03,41.58,42.14,41.58,41.92,1606000,41.7212
2015-03-02,41.50,42.20,41.41,41.79,3352600,41.5919
2015-02-27,41.78,42.50,41.25,42.22,4544900,42.0198
2015-02-26,42.35,43.10,42.04,42.74,2720300,42.5374
2015-02-25,42.95,43.00,41.75,42.35,2004800,42.1492
2015-02-24,41.98,42.98,41.97,42.85,2097800,42.6468
2015-02-23,41.87,43.08,41.87,42.94,3084100,42.7364
2015-02-20,42.00,42.20,41.60,41.81,1289500,41.6118
2015-02-19,42.10,42.21,41.26,42.00,2033200,41.8009
2015-02-18,40.60,42.33,40.58,42.14,2125100,41.9402
2015-02-17,40.40,41.00,40.40,40.92,1198200,40.726
2015-02-16,40.35,40.59,40.00,40.46,324500,40.2682
2015-02-13,40.55,40.80,40.34,40.62,1531800,40.4274
2015-02-12,39.69,40.68,39.65,40.55,1996200,40.3577
2015-02-11,38.92,39.80,38.55,39.69,2944400,39.5018
2015-02-10,39.46,39.46,38.58,38.92,3291500,38.7355
2015-02-09,38.81,39.47,38.63,38.81,1340000,38.626
2015-02-06,38.92,39.49,38.53,39.33,1531800,39.1435
2015-02-05,39.23,39.43,38.46,38.77,2417500,38.5862
2015-02-04,39.80,39.80,38.81,39.03,1915800,38.845
2015-02-03,38.20,39.90,38.20,39.77,2647100,39.5814
2015-02-02,38.14,38.14,38.14,38.14,000,37.9592
2015-01-30,39.43,39.62,38.00,38.14,3009700,37.9592
2015-01-29,39.26,39.93,39.13,39.43,1160500,39.2431
2015-01-28,39.98,40.50,38.95,39.23,1597600,39.044
2015-01-27,40.00,40.71,39.54,39.95,2723800,39.7606
2015-01-26,40.66,40.70,39.88,40.30,1706900,40.1089
2015-01-23,40.05,41.09,40.05,40.41,1419700,40.2184
2015-01-22,40.10,41.00,40.00,40.87,2636300,40.6762
2015-01-21,39.60,40.46,39.42,40.10,2284800,39.9099
2015-01-20,39.20,39.90,39.05,39.80,1299200,39.6113
2015-01-19,39.21,39.55,39.00,39.18,434100,38.9942
2015-01-16,37.75,39.34,37.75,39.16,1159300,38.9743
2015-01-15,38.91,39.08,37.61,37.81,1910100,37.6307
2015-01-14,39.89,40.26,38.50,38.84,1992000,38.6559
2015-01-13,39.55,40.69,39.55,39.87,1278100,39.681
2015-01-12,40.16,40.73,39.52,39.73,942500,39.5416
2015-01-09,41.02,41.18,39.88,40.22,1101300,40.0293
2015-01-08,40.39,41.49,39.79,41.02,1626600,40.8255
2015-01-07,39.17,40.70,39.17,40.39,1581000,40.1985
2015-01-06,39.51,39.85,39.00,39.42,1088500,39.2331
2015-01-05,39.80,40.09,38.00,39.71,3630400,39.5217
2015-01-02,40.50,41.00,39.27,39.77,1678900,39.5814
2015-01-01,40.70,40.70,40.70,40.70,000,40.507
2014-12-31,40.60,40.91,40.56,40.70,414000,40.507
2014-12-30,40.37,40.79,40.15,40.60,845300,40.4075
2014-12-29,40.80,40.90,40.10,40.57,876400,40.3776
2014-12-26,40.58,40.94,40.44,40.80,453700,40.6066
2014-12-25,40.72,40.72,40.72,40.72,000,40.5269
2014-12-24,40.04,40.85,40.04,40.72,208800,40.5269
2014-12-23,40.70,41.04,40.02,40.90,1435100,40.7061
2014-12-22,40.00,41.14,39.62,40.71,2318600,40.517
2014-12-19,39.65,40.00,39.14,39.76,3065900,39.5715
2014-12-18,37.25,39.56,37.25,39.39,2881100,39.2032
2014-12-17,36.48,38.06,36.00,37.05,3324000,36.8743
2014-12-16,36.63,37.39,35.00,36.66,2024800,36.4862
2014-12-15,36.26,37.01,36.20,36.46,236200,36.2871
